depth,alpha,beta,base_len,mean_val_filtered,mean_val_other,std_val_filtered,std_val_other,max_val_filtered,min_val_other
100,0.3,0.00001,199,0.0543849752,0,0.0312096844,0,0.1040893253,0.0003559331
100,0.3,0.0001,200,0.0332376577,0,0.0184102805,0,0.102364689,0
100,0.3,0.001,200,0.0178163877,0,0.0183987119,0,0.1026532108,0
100,0.3,0.01,100,0.0294528661,0.000872334,0.0205444728,7.9258219874254E-005,0.1006433993,0.000715914
100,0.3,0.1,100,0.0294883167,0.0002750457,0.0205994664,4.10789081397919E-005,0.099124733,0.0002131445
100,0.3,1,100,0.0295268965,0.0002116871,0.0206975292,3.58295960527163E-005,0.1053054891,0.0001380153
100,0.3,10,100,0.0295381705,0.0002022931,0.0207700313,3.53511863186483E-005,0.1051563373,0.00012984
100,0.5,0.00001,200,0.1210624687,0,0.0990430141,0,0.2501593658,0
100,0.5,0.0001,200,0.0661943687,0,0.0534467718,0,0.2489528791,0
100,0.5,0.001,200,0.0237531407,0,0.0162934562,0,0.10309806,0
100,0.5,0.01,100,0.0296335744,0.0019659623,0.0208857467,0.0002300842,0.102785475,0.0015384467
100,0.5,0.1,100,0.0296536893,0.0003236461,0.0209893125,2.7846628848719E-005,0.1052127834,0.0002725013
100,0.5,1,100,0.0295824069,0.0001592606,0.0207747618,2.12835905841959E-005,0.1026529016,0.0001232352
100,0.5,10,100,0.0295800611,0.0001429147,0.0207645794,2.50094588763485E-005,0.1028929937,9.62863415676268E-005
100,0.7,0.00001,200,0.2345511446,0,0.2128227637,0,0.4902175434,0
100,0.7,0.0001,200,0.1101585681,0,0.0993333739,0,0.4481122532,0
100,0.7,0.001,200,0.0312745606,0,0.0169734687,0,0.1050235109,0
100,0.7,0.01,188,0.0174932409,0.003043672,0.0200576961,8.90303244987484E-005,0.1050305078,0.0028866246
100,0.7,0.1,100,0.0296941587,0.0004738418,0.0210215922,3.73380511467496E-005,0.1037514533,0.0004041856
100,0.7,1,100,0.0296870772,0.0001510226,0.02100997,3.23233621505746E-005,0.10359331,0.0001059596
100,0.7,10,100,0.0296665331,0.0001197826,0.020992322,3.3367198142983E-005,0.1034015929,7.48962462759396E-005
100,1,0.00001,200,0.4232692848,0,0.4269450701,0,1.0003738247,0
100,1,0.0001,200,0.2325543916,0,0.2492046113,0,0.9898742767,0
100,1,0.001,200,0.0474610005,0,0.0268964698,0,0.1477456292,0
100,1,0.01,200,0.0184860209,0,0.0186353311,0,0.1051573163,0
100,1,0.1,100,0.0297058905,0.0008978115,0.0210822997,7.49594323572209E-005,0.1051607082,0.0007698434
100,1,1,100,0.0297143983,0.0002375774,0.0211057902,6.72880750772976E-005,0.1053982772,0.00015585
100,1,10,100,0.0297120501,0.0001714844,0.0210952743,6.73637724051279E-005,0.1052526499,8.90748623866339E-005
